id	name	type
77D6F439	Context-sensitive semantic smoothing for the language modeling approach to genomic IR	paper
7E08E4CD	Better than the real thing?: iterative pseudo-query processing using cluster-based language models	paper
786D044A	Building implicit links from content for forum search	paper
790AF21A	Linear discriminant model for information retrieval	paper
7BA8A899	Bayesian online classifiers for text classification and filtering	paper
762787B5	Feature engineering for mobile (SMS) spam filtering	paper
76D49856	Robustness of regularized linear classification methods in text categorization	paper
78649A31	Active learning for class imbalance problem	paper
7B6DB2E1	Collaborative filtering with privacy via factor analysis	paper
77D4A6C4	Unsupervised document classification using sequential information maximization	paper
7B64A0AB	Extending average precision to graded relevance judgments	paper
7CE9AA98	"On the collective classification of email ""speech acts"""	paper
7C318F32	A user-centred evaluation of ranking algorithms for interactive query expansion	paper
766EB39C	GaP: a factor model for discrete data	paper
774B1D6E	Regularized clustering for documents	paper
7EF446BE	Personalized recommendation driven by information flow	paper
78F88FC8	An improved markov random field model for supporting verbose queries	paper
7AFCF36A	On an equivalence between PLSI and LDA	paper
75AB4C29	Learning to rank with SoftRank and Gaussian processes	paper
7549BAB0	Impedance coupling in content-targeted advertising	paper
7848A468	A model of information retrieval based on a terminological logic	paper
78B87EAD	Discovering key concepts in verbose queries	paper
7B3B1FAC	Automatic evaluation of world wide web search services	paper
793EF8EC	A statistical learning learning model of text classification for support vector machines	paper
77D63394	Constructing informative prior distributions from domain knowledge in text classification	paper
77422F39	Automatic web query classification using labeled and unlabeled training data	paper
7F323E4F	Towards musical query-by-semantic-description using the CAL500 data set	paper
7C4CFB31	Learning to rank at query-time using association rules	paper
7FBE07E1	On the local optimality of LambdaRank	paper
8132EDEF	The wisdom of the few: a collaborative filtering approach based on expert opinions from the web	paper
8096B9A8	Enhancing text clustering by leveraging Wikipedia semantics	paper
78878051	Phonetic confusion matrix based spoken document retrieval	paper
75A02708	Reducing long queries using query quality predictors	paper
754BE1D0	The effect multiple query representations on information retrieval system performance	paper
75695BC8	Latent semantic indexing is an optimal special case of multidimensional scaling	paper
801985B8	Studying the use of popular destinations to enhance web search interaction	paper
7D807FD5	Refined experts: improving classification in large taxonomies	paper
7DC03A9C	Locality preserving indexing for document representation	paper
79B04EB3	Relaxed online SVMs for spam filtering	paper
804B5947	Bayesian extension to the language model for ad hoc information retrieval	paper
7BBA4F8C	Analysis of a low-dimensional linear model under recommendation attacks	paper
7DBCD42C	The use of unlabeled data to improve supervised learning for text summarization	paper
769E8B85	Relevance and contributing information types of searched documents in task performance	paper
8040DD14	Learning effective ranking functions for newsgroup search	paper
5F0E68AD	Hierarchical neural networks for text categorization	paper
753B0371	Temporal collaborative filtering with adaptive neighbourhoods	paper
7DC10A63	SpotSigs: robust and efficient near duplicate detection in large web collections	paper
7CFA0F26	Effective missing data prediction for collaborative filtering	paper
7993E3BE	Automatic image annotation by using concept-sensitive salient objects for image content representation	paper
7C523A12	Results of applying probabilistic IR to OCR text	paper
7AB99336	A comparison of classifiers and document representations for the routing problem	paper
7A27208B	Improving text retrieval for the routing problem using latent semantic indexing	paper
7889A2C5	Orthogonal locality preserving indexing	paper
770D962D	ICA and SOM in text document analysis	paper
78CE47C4	A user browsing model to predict search engine click data from past observations.	paper
7B337E8B	The decomposition of human-written summary sentences	paper
7FDB9438	A browser for bibliographic information retrieval, based on an application of lattice theory	paper
7C02181E	Efficient bayesian hierarchical user modeling for recommendation system	paper
798E5678	A probabilistic graphical model for joint answer ranking in question answering	paper
7FF02B6C	Extracting structured information from user queries with semi-supervised conditional random fields	paper
7A074A4D	Analyzing feature trajectories for event detection	paper
7A78A07C	User adaptation: good results from poor systems	paper
78EC631B	Domain-independent text segmentation using anisotropic diffusion and dynamic programming	paper
7F6C8F0D	Document clustering with prior knowledge	paper
7996EB5E	Effective document presentation with a locality-based similarity heuristic	paper
8130637C	A regression framework for learning ranking functions using relative relevance judgments	paper
7EADEC8F	Learning from labeled features using generalized expectation criteria	paper
7EB0740B	Text classification with kernels on the multinomial manifold	paper
7CBBFBF4	Social media recommendation based on people and tags	paper
7BDE0134	Computation of term associations by a neural network	paper
768042B4	Learning to rank query reformulations	paper
788FA378	Towards language independent automated learning of text categorization models	paper
7ECA2159	A support vector method for optimizing average precision	paper
7E6BF6D8	A database centric view of semantic image annotation and retrieval	paper
7C9B715B	Probabilistic latent query analysis for combining multiple retrieval sources	paper
7D43B6D6	Ranking with multiple hyperplanes	paper
7A323EFE	Exploiting ontologies for automatic image annotation	paper
7AF59493	Automatic essay grading using text categorization techniques	paper
7CFD178A	A unified and discriminative model for query refinement	paper
7D272163	Reading time, scrolling and interaction: exploring implicit sources of user preferences for relevance feedback	paper
7AB8447A	Evaluating evaluation metrics based on the bootstrap	paper
7B20680E	Simplified similarity scoring using term ranks	paper
7C8994A9	Multi-document summarization via sentence-level semantic analysis and symmetric matrix factorization	paper
7EA5DD49	A case-based approach to intelligent information retrieval	paper
76A69BB9	Jester 2.0 (poster abstract): evaluation of an new linear time collaborative filtering algorithm	paper
7DCAC7DD	Learning to cluster web search results	paper
76645F38	Predicting the performance of linearly combined IR systems	paper
7722ED46	Vertical selection in the presence of unlabeled verticals	paper
7DBE5DB3	Beyond independent relevance: methods and evaluation metrics for subtopic retrieval	paper
7C47E47F	Evaluating a probabilistic model for cross-lingual information retrieval	paper
8051956C	User modeling for full-text federated search in peer-to-peer networks	paper
7ABA248D	Hierarchical neural networks for text categorization (poster abstract)	paper
7F8DBD08	Generic soft pattern models for definitional question answering	paper
7ACC689A	Training algorithms for linear text classifiers	paper
7B9A7E21	Evaluating evaluation measure stability	paper
7868D94E	Dynamicity vs. effectiveness: studying online clustering for scatter/gather	paper
7B31E378	Evaluating high accuracy retrieval techniques	paper
7FA844BE	Text categorization by boosting automatically extracted concepts	paper
7EF01968	Hidden Markov models for automatic annotation and content-based retrieval of images and video	paper
7DD1A5C9	Using bayesian priors to combine classifiers for adaptive filtering	paper
79CA2BA6	A parallel derivation of probabilistic information retrieval models	paper
7DC501D5	On scaling latent semantic indexing for large peer-to-peer systems	paper
799D1559	Inferring probability of relevance using the method of logistic regression	paper
758CBA13	A collaborative filtering algorithm and evaluation metric that accurately model the user experience	paper
75349D25	Building a test collection for complex document information processing	paper
78118BFA	Some simple effective approximations to the 2-Poisson model for probabilistic weighted retrieval	paper
76A00DCE	Properties of extended Boolean models in information retrieval	paper
7A50630F	Regularized estimation of mixture models for robust pseudo-relevance feedback	paper
81724478	Directly optimizing evaluation measures in learning to rank	paper
78517A5C	Collaborative filtering via gaussian probabilistic latent semantic analysis	paper
7F856B50	Context-aware ranking in web search	paper
7A579E9D	Using the cosine measure in a neural network for document retrieval	paper
7D750A56	On rank correlation and the distance between rankings	paper
7EAF03D4	Adapting ranking SVM to document retrieval	paper
778850EB	A re-examination of text categorization methods	paper
7CC3FECE	Learning to recommend with social trust ensemble	paper
7677E142	Efficient distributed algorithms to build inverted files	paper
7720A0BB	A study on thresholding strategies for text catego-rization	paper
7F54207B	Incorporating quality metrics in centralized/distributed information retrieval on the World Wide Web	paper
76368B1A	ARSA: a sentiment-aware model for predicting sales performance using blogs	paper
7FCAC47C	Fast nonparametric matrix factorization for large-scale collaborative filtering	paper
7C55E7CA	Question classification using support vector machines	paper
7604023B	Multi-labelled classification using maximum entropy method	paper
7FB644D7	Attack resistant collaborative filtering	paper
7B3B8047	The score-distributional threshold optimization for adaptive binary classification tasks	paper
75A13C44	A combined component approach for finding collection-adapted ranking functions based on genetic programming	paper
77C20005	On the reuse of past optimal queries	paper
7A70C78D	Text summarization via hidden Markov models	paper
77E54E63	Maximum likelihood estimation for filtering thresholds	paper
7B2FC402	A probabilistic model for retrospective news event detection	paper
5F58E392	Memory-Based Weighted-Majority Prediction For Recommender Systems	paper
77B562B0	Constant interaction-time scatter/gather browsing of very large document collections	paper
795D0482	Combining semantic and syntactic document classifiers to improve first story detection	paper
77FC641C	Document clustering based on non-negative matrix factorization	paper
79488D4F	Table extraction using conditional random fields	paper
7EFB412A	Cluster-based retrieval using language models	paper
7ED93FB4	Learning collection fusion strategies	paper
76124B5A	MURAX: a robust linguistic approach for question answering using an on-line encyclopedia	paper
78D113C7	Near-duplicate detection by instance-level constrained clustering	paper
7732DE1B	Information-based models for ad hoc IR	paper
7A4134BA	Real-time automatic tag recommendation	paper
7F93C5EE	Feature selection using linear classifier weights: interaction with classification models	paper
7ACDE861	Document clustering using word clusters via the information bottleneck method	paper
7DD69C60	Predicting user interests from contextual information	paper
80F27E0A	Learning query intent from regularized click graphs	paper
773A28BA	An outranking approach for rank aggregation in information retrieval	paper
7717164F	A system for discovering relationships by feature extraction from text databases	paper
7B6BECCA	Document clustering by concept factorization	paper
7846667E	Phrase recognition and expansion for short, precision-biased queries based on a query log	paper
7858AB3E	Principles of hash-based text retrieval	paper
7A9AB8FE	A boosting algorithm for learning bipartite ranking functions with partially labeled data	paper
7D57ED17	Hits on the web: how does it compare?	paper
7F70B0C6	Hierarchical classification for automatic image annotation	paper
7E51B04C	ReCoM: reinforcement clustering of multi-type interrelated data objects	paper
7D18A26B	Robustness of adaptive filtering methods in a cross-benchmark evaluation	paper
7BA595A1	Reexamining the cluster hypothesis: scatter/gather on retrieval results	paper
768CB18D	Identifying comparative sentences in text documents	paper
7DA19E2F	Probabilistic latent semantic indexing	paper
80E8E3FF	Two-stage language models for information retrieval	paper
7E1885C4	A simple and efficient sampling method for estimating AP and NDCG	paper
7FE98C7B	Multi-label informed latent semantic indexing	paper
78D53B0C	Content awareness in a file system interface: implementing the “pile” metaphor for organizing information	paper
7CE997EC	Title language model for information retrieval	paper
7EE9B453	LETOR: Benchmark Dataset for Research on Learning to Rank for Information Retrieval	paper
75FE10AA	Combining content and link for classification using matrix factorization	paper
7E339AE3	Unifying user-based and item-based collaborative filtering approaches by similarity fusion	paper
7CE4C917	A hidden Markov model information retrieval system	paper
7D27CD5C	A comparative study on content-based music genre classification	paper
806B79BA	Using term informativeness for named entity detection	paper
7704C86B	Uncovering social spammers: social honeypots + machine learning	paper
76ECE574	Information retrieval based on context distance and morphology	paper
7BE2DBD7	A nonparametric hierarchical bayesian framework for information filtering	paper
7B7421A9	Document and passage retrieval based on hidden Markov models	paper
7C84EFA6	Using asymmetric distributions to improve text classifier probability estimates	paper
77776386	Modeling task-genre relationships for IR in the workplace	paper
7FC7E48C	Learning to rank with partially-labeled data	paper
78E927E1	A system for retrieving speech documents	paper
6D9583F3	A Statistical Learning Model of Text Classification for Support Vector Machines	paper
80C2F3D1	How good is a span of terms?: exploiting proximity to improve web retrieval	paper
79A8B1C9	Test theory for assessing IR test collections	paper
7F7B5C50	FRank: a ranking method with fidelity loss	paper
78D99945	Link-based and content-based evidential information in a belief network model	paper
775E6765	Text filtering by boosting naive Bayes classifiers	paper
796BA8B2	Less is more: probabilistic models for retrieving fewer relevant documents	paper
7FC261FA	Display time as implicit feedback: understanding task effects	paper
79512E52	A syntactic tree matching approach to finding similar questions in community-based qa services	paper
7D2E280B	Exploring reductions for long web queries	paper
7B117957	Document clustering with cluster refinement and model selection capabilities	paper
794827F5	Summarizing text documents: sentence selection and evaluation metrics	paper
78E1E9C6	Retrieval from hierarchical texts by partial patterns	paper
76416B60	A new family of online algorithms for category ranking	paper
7639488D	Cluster analysis for hypertext systems	paper
75EF1C90	ProbFuse: a probabilistic approach to data fusion	paper
78F49B8F	A scalability analysis of classifiers in text categorization	paper
8152E571	Machine Learned Sentence Selection Strategies for Query-Biased Summarization	paper
7DD7DEBD	Cross-lingual query suggestion using query logs of different languages	paper
78975264	Searching XML documents via XML fragments	paper
7B7B1654	OHSUMED: an interactive retrieval evaluation and new large test collection for research	paper
769B3F81	A cluster-based resampling method for pseudo-relevance feedback	paper
7B040B8A	Hierarchical classification of Web content	paper
7809C2E7	Evaluating different methods of estimating retrieval quality for resource selection	paper
7DF40F16	Latent semantic analysis for multiple-type interrelated data objects	paper
77ABD635	Predicting searcher frustration	paper
80E41878	An exploration of proximity measures in information retrieval	paper
75FF852E	Extracting classification knowledge of Internet documents with mining term associations: a semantic approach	paper
7B2CFD6B	On-line spam filter fusion	paper
7DF5FD24	Scalable collaborative filtering using cluster-based smoothing	paper
7C6DD8B3	Heads and tails: studies of web search with common and rare queries	paper
79867488	Learning to reduce the semantic gap in web image retrieval and annotation	paper
78739CC6	Modeling annotated data	paper
7BE657E1	An investigation of linguistic features and clustering algorithms for topical document clustering	paper
78E20C29	Relation between PLSA and NMF and implications	paper
7609D5DF	On the allocation of documents in multiprocessor information retrieval systems	paper
794AEB38	Deriving concept hierarchies from text	paper
7BA6D12B	Combining audio content and social context for semantic music discovery	paper
759D2CE6	A proximity language model for information retrieval	paper
7A51D293	Experiments in automatic statistical thesaurus construction	paper
753DC597	Graph-based text classification: learn from your neighbors	paper
7D0390EF	A ranking approach to keyphrase extraction	paper
7E7DB01D	SETS: search enhanced by topic segmentation	paper
7D07EA20	Modeling score distributions for combining the outputs of search engines	paper
76966625	Combining classifiers in text categorization	paper
7C37FEB1	Method combination for document filtering	paper
80A29B12	OCFS: optimal orthogonal centroid feature selection for text categorization	paper
80B21893	Temporal diversity in recommender systems	paper
7C30EEB1	High performance question/answering	paper
7F590CD7	A study of smoothing methods for language models applied to Ad Hoc information retrieval	paper
75F92624	A new statistical formula for Chinese text segmentation incorporating contextual information	paper
77A8FDF8	Probabilistic retrieval based on staged logistic regression	paper
78D85E0C	Corpus structure, language models, and ad hoc information retrieval	paper
78C0F21F	Structured retrieval for question answering	paper
79AF27CC	Learning to extract information from semi-structured text using a discriminative context free grammar	paper
75E9C9D8	Extracting sentence segments for text summarization: a machine learning approach	paper
7C336E8D	Combining document representations for known-item search	paper
803EB3CE	Eye-tracking analysis of user behavior in WWW search	paper
7D9C69EE	Combining eye movements and collaborative filtering for proactive information retrieval	paper
76D90529	Classifying news stories using memory based reasoning	paper
79FA70D7	Probabilistic structured query methods	paper
7F1D7BFD	Simultaneously modeling semantics and structure of threaded discussions: a sparse coding approach and its applications	paper
7F2984B0	Knowledge transformation from word space to document space	paper
7C54E0A8	An algorithmic framework for performing collaborative filtering	paper
75679CB4	The demographics of web search	paper
79572652	Using a generalized instance set for automatic text categorization	paper
767E699B	Concept based query expansion	paper
7C4B3240	An experimental comparison of naive Bayesian and keyword-based anti-spam filtering with personal e-mail messages	paper
7E66B48C	Understanding web browsing behaviors through Weibull analysis of dwell time	paper
76802781	Configurable indexing and ranking for XML information retrieval	paper
75CC40F2	On social networks and collaborative recommendation	paper
7F8BE2AE	To personalize or not to personalize: modeling queries with variation in user intent	paper
7B402A2B	Discriminative models for information retrieval	paper
7D04722B	Smoothing clickthrough data for web search ranking	paper
7C938085	Social tag prediction	paper
7A9BC2CE	Performance prediction using spatial autocorrelation	paper
7F353B6C	Learning to efficiently rank	paper
7C9E67C8	An application of least squares fit mapping to text information retrieval	paper
7B4273A8	Asymmetric distance estimation with sketches for similarity search in high-dimensional spaces	paper
80DB410E	Learning in a pairwise term-term proximity framework for information retrieval	paper
80A853E8	Methods and metrics for cold-start recommendations	paper
7BC15EA3	Inverted file search algorithms for collaborative filtering	paper
7E35D10F	Relative loss bounds for multidimensional regression problems	paper
806B6586	Structure Learning in Human Causal Induction	paper
8077EC7D	On Semi-Supervised Classification	paper
8056BD5F	Structure driven image database retrieval	paper
7EF33A3D	Bayesian Model Selection for Support Vector Machines, Gaussian Processes and Other Kernel Classifiers	paper
7F1E0CFF	Modularity in the motor system: decomposition of muscle patterns as combinations of time-varying synergies	paper
7EB19CBF	The Curse of Highly Variable Functions for Local Kernel Machines	paper
7D0DE567	Supervised Topic Models	paper
80BDC5D6	Temporal Difference Learning of Position Evaluation in the Game of Go.	paper
7E3803E1	Motivated Reinforcement Learning	paper
78D0BF2F	Statistical Learning and Kernel Methods	paper
80ABFA75	Correcting sample selection bias in maximum entropy density estimation	paper
7E4A9EE9	Distributed Information Regularization on Graphs	paper
7D6AE24E	Semi-supervised Learning via Gaussian Processes	paper
072612B1	Using sparseness and analytic qp to speed training of support vector machines	paper
7F01737C	A Natural Policy Gradient	paper
7FF8EA9C	Using machine learning to break visual human interaction proofs (HIPs	paper
7F74B998	Brain covariance selection: better individual functional connectivity models using population prior	paper
7F982DD7	A Neural Probabilistic Language Model	paper
80A4C715	Predictive Representations of State	paper
81142B07	Nonlinear causal discovery with additive noise models	paper
8160D140	An investigation of practical approximate nearest neighbor algorithms	paper
80C003CA	Reinforcement learning algorithm for partially observable markov decision problems	paper
7F33F805	Playing is believing: the role of beliefs in multi-agent learning	paper
814EEEA3	Learning Body Pose via Specialized Maps	paper
7DD35DD9	An Impossibility Theorem for Clustering	paper
7F50BFA0	From regularization operators to support vector kernels	paper
7E822097	Semi-Supervised Learning in Gigantic Image Collections	paper
7F6E9F45	Fast Sparse Gaussian Process Methods: The Informative Vector Machine	paper
7DF759B3	Adaptive Scaling for Feature Selection in SVMs	paper
7ECDB999	A Model for Learning the Semantics of Pictures	paper
800548F2	Feature Selection in Mixture-Based Clustering	paper
7E55BE4B	Global Coordination of Local Linear Models	paper
7E547487	Sparse multinomial logistic regression via Bayesian L1 regularisation	paper
80A358D5	Semi-Markov Conditional Random Fields for Information Extraction	paper
7F2117CD	Clustering Sequences with Hidden Markov Models	paper
80B2D696	Modeling homophily and stochastic equivalence in symmetric relational data	paper
7F30DC57	Speech Denoising and Dereverberation Using Probabilistic Models	paper
80C62025	Optimizing classifiers for imbalanced training sets	paper
7E45C7B8	People Tracking with the Laplacian Eigenmaps Latent Variable Model	paper
81757C3D	Scheduling straight-line code using reinforcement learning and rollouts	paper
7D093483	A Support Vector Method for Clustering	paper
7E77AC6B	Synergies between Intrinsic and Synaptic Plasticity in Individual Model Neurons	paper
7D1D979B	Linear programming analysis of loopy belief propagation for weighted matching	paper
7F350489	Feature Selection by Maximum Marginal Diversity	paper
7DEEACDD	Bayesian Map Learning in Dynamic Environments	paper
8164584A	A Convolutional Neural Network Hand Tracker	paper
7D8E762F	Learning Joint Statistical Models for Audio-Visual Fusion and Segregation	paper
7D936BBC	Modeling Dyadic Data with Binary Latent Factors	paper
7EBA561C	Active Learning with Statistical Models	paper
7D59AA1D	Combining Features for BCI	paper
099A87D9	KLD-Sampling: Adaptive Particle Filters and Mobile Robot Localization	paper
7EA79FED	Exponential Family Harmoniums with an Application to Information Retrieval	paper
7D2DF584	Sharing Clusters among Related Groups: Hierarchical Dirichlet Processes	paper
7D174948	Generalized Belief Propagation	paper
813FDD1B	Generalized Nonnegative Matrix Approximations with Bregman Divergences	paper
7EAEDFB4	Second Order Derivatives for Network Pruning: Optimal Brain Surgeon	paper
80BBF0C9	Making Latin Manuscripts Searchable using gHMM's	paper
7E7547A0	Active Learning for Parameter Estimation in Bayesian Networks	paper
80DAA99F	Maximum entropy discrimination	paper
7FAE0808	Neural network computation by in vitro transcriptional circuits	paper
7DFE790B	Evidence Optimization Techniques for Estimating Stimulus-Response Functions	paper
7DDDBAD9	An Alternative Infinite Mixture Of Gaussian Process Experts	paper
7F9724B3	Bayesian Image Super-Resolution	paper
7E782D13	Boosting Density Estimation	paper
7E326FA5	Stochastic Relational Models for Discriminative Link Prediction	paper
7F0F8720	STDP enables spiking neurons to detect hidden causes of their inputs	paper
7D60268A	Blind One-microphone Speech Separation: A Spectral Learning Approach	paper
7CFC8D2A	Invariant feature extraction and classification in kernel spaces	paper
7FE475C5	Real-Time Pitch Determination of One or More Voices by Nonnegative Matrix Factorization	paper
8092798B	Dynamically adapting kernels in support vector machines	paper
8052080B	Measure Based Regularization	paper
7D0055D2	Entropy and inference, revisited	paper
5E72175B	How to Train Neural Networks	paper
7EC28978	Empirical Entropy Manipulation for Real-World Problems	paper
813114EB	Pairwise Neural Network Classifiers with Probabilistic Outputs	paper
81677328	Constrained Independent Component Analysis	paper
8178B7DF	Learning Horizontal Connections in a Sparse Coding Model of Natural Images	paper
812A9105	Learning Appearance Based Models: Mixtures of Second Moment Experts	paper
805BEE8B	Fast Krylov Methods for N-Body Learning	paper
7F1F88FC	Learning to Find Pre-Images	paper
7F67DA5B	The Relevance Vector Machine	paper
80A1AA6F	Model Selection for Support Vector Machines	paper
7FA42A15	Learning Spectral Clustering	paper
7FDB0770	Linearly-solvable Markov decision problems	paper
7D8A470B	Optimal Asset Allocation using Adaptive Dynamic Programming	paper
7DC34932	Limitations of Self-organizing Maps for Vector Quantization and Multidimensional Scaling	paper
7F940CBB	Speech Recognition using SVMs	paper
7DCDA966	Algorithmic Stability and Generalization Performance	paper
7DC0ADEE	The cascade-correlation learning architecture	paper
80D639AE	An Input Output HMM Architecture	paper
7EEDADD9	Non-stationary Dynamic Bayesian Networks	paper
7DB65A75	Reinforcement Learning in Continuous Action Spaces through Sequential Monte Carlo Methods	paper
7F46BABD	The Recurrent Temporal Restricted Boltzmann Machine	paper
7F4CBB48	Detecting Humans via Their Pose	paper
7D8DE4FE	Batch Value Function Approximation via Support Vectors	paper
7DB1D7A0	Incremental and Decremental Support Vector Machine Learning	paper
7FEA17D3	Sparse Representation for Signal Classification	paper
8055021C	Face Recognition Using Kernel Methods	paper
80A2F973	Modeling human motion using binary latent variables	paper
7D90D697	Learning Local Error Bars for Nonlinear Regression	paper
7F4B0CCF	An entropic estimator for structure discovery	paper
7E533F1A	COFI RANK - Maximum Margin Matrix Factorization for Collaborative Ranking	paper
042C0414	Support vector machine with dynamic time-alignment kernel for speech recognition	paper
7DD0397C	Greedy Layer-Wise Training of Deep Networks	paper
7DCB1DA7	Non-rigid point set registration: Coherent Point Drift	paper
7EB77038	Support Vector Novelty Detection Applied to Jet Engine Vibration Spectra	paper
7DBF16B5	Spectral Bounds for Sparse PCA: Exact and Greedy Algorithms	paper
7F6F87F5	A Nonparametric Approach to Bottom-Up Visual Saliency	paper
7D76B7D9	Using Combinatorial Optimization within Max-Product Belief Propagation	paper
8172D4A6	Combined Neural Networks for Time Series Analysis	paper
7EB74B6D	Maximum Likelihood Blind Source Separation: A Context-Sensitive Generalization of ICA	paper
7F237049	Automatic Choice of Dimensionality for PCA	paper
7EB7C471	Inferring a Semantic Representation of Text via Cross-Language Correlation Analysis	paper
7D358160	Computing regularization paths for learning multiple kernels	paper
7E416A5F	Classification on pairwise proximity data	paper
8076230E	An Auditory Paradigm for Brain-Computer Interfaces	paper
80247D8B	Bayesian Color Constancy with Non-Gaussian Models	paper
7CEEEC7D	Multi-label Multiple Kernel Learning	paper
7E93160E	Designing Application-Specific Neural Networks Using the Genetic Algorithm	paper
7FC5D8D2	Sparse Convolved Gaussian Processes for Multi-output Regression	paper
80549FC1	Distributed Inference for Latent Dirichlet Allocation	paper
8040EE73	The Laplacian PDF Distance: A Cost Function for Clustering in a Kernel Feature Space	paper
7FB23E3B	On Kernel-Target Alignment	paper
7F637EF0	Support Vector Regression Machines	paper
7D6E0C8A	Boosting Decision Trees	paper
7D6638B4	Direct Importance Estimation with Model Selection and Its Application to Covariate Shift Adaptation	paper
80BFFE30	Active data clustering	paper
7D9D6E2B	Asynchronous Distributed Learning of Topic Models	paper
7D8B807D	Adaptive Forward-Backward Greedy Algorithm for Sparse Learning with Linear Models	paper
7D2E9BA5	Training Neural Networks with Deficient Data	paper
7DA580DD	Blind Source Separation via Multinode Sparse Representation	paper
814C7B2E	Interpretation of Artificial Neural Networks: Mapping Knowledge-Based Neural Networks into Rules	paper
816290C5	Active Support Vector Machine Classification	paper
80C46674	On the Complexity of Linear Prediction: Risk Bounds, Margin Bounds, and Regularization	paper
8173C9C8	Classification with Hybrid Generative/Discriminative Models	paper
80604CD7	Feature Selection in Clustering Problems	paper
7E441FB7	Learning a Distance Metric from Relative Comparisons	paper
80A77CA5	Tighter Bounds for Structured Estimation	paper
80C4A593	Feudal Reinforcement Learning	paper
7D0BE3A4	Logarithmic Online Regret Bounds for Undiscounted Reinforcement Learning	paper
7FDDADBD	Two view learning: SVM-2K, theory and practice	paper
7F1F26C2	Surface Learning with Applications to Lipreading	paper
7F3E9408	Online Linear Regression and Its Application to Model-Based Reinforcement Learning	paper
7D1C9CFB	Automatic online tuning for fast Gaussian summation	paper
7D27EDFC	Sparse Gaussian processes using pseudo-inputs	paper
7D32EB6D	Instance-Based Relevance Feedback for Image Retrieval	paper
7D61050A	Learning Shared Latent Structure for Image Synthesis and Robotic Imitation	paper
814E8581	Walk-Sum Interpretation and Analysis of Gaussian Belief Propagation	paper
80FD7E3B	Automatic Capacity Tuning of Very Large VC-Dimension Classifiers	paper
7D5DA52D	Non-Intrusive Gaze Tracking Using Artificial Neural Networks	paper
8007F8F8	The Generalized FITC Approximation	paper
7FBB7A4D	Convex Learning with Invariances	paper
803513F9	Adaptive Sparseness Using Jeffreys Prior	paper
